外部 ID,标题,描述,等级,状态,计划发布时间,实际发布时间
1007016,需求新建表单 TAPD 风格布局,需求创建页采用左正文右属性栏，系统字段与模板字段视觉统一且去重。,p1,开发中,2026-06-28,
1007017,需求默认状态为待评审,新建需求不得出现 state 占位，初始 CurrentState 固定为 new(待评审)。,p0,已上线,2026-06-10,2026-06-12
1007018,需求 CSV 历史数据导入,支持外部 ID/标题/描述/等级/状态/计划与实际上线时间列，相同 ID 更新原记录。,p0,待评审,2026-07-01,
1007019,需求 RTF 批量导入拆分,TAPD 导出 RTF 按 ID 行拆分为多条需求，保留来源快照字段供状态展示兜底。,p1,待规划,2026-08-05,
1007020,需求来源与客户/规划/活动/竞品联动,需求来源选客户反馈时必填客户名称，内部规划/运营活动/竞品调研各有补充字段。,p1,已排期,2026-07-20,
1007021,需求 AI 一键补全,新建页支持语音+文本描述，SSE 流式填充标题/描述/类型/来源等字段。,p1,开发中,2026-06-26,
1007022,需求工作流七态流转,对齐米多需求收集工作流：待评审/待规划/已立项/开发中/已排期/已上线/已拒绝/转为缺陷。,p0,已立项,2026-05-01,
1007023,需求流转弹窗必填项校验,按 transition.requiredFieldKeys 校验标题/处理人/备注/归属版本/立项单/上线单。,p1,待评审,2026-07-08,
1007024,需求看板按状态分列拖拽,Kanban 按工作流状态分列，拖拽卡片触发 transition 并校验权限。,p2,待规划,2026-09-01,
1007025,需求 RTM 追溯矩阵,RTM 页展示需求-功能-缺陷-版本交叉矩阵，支持筛选与导出。,p1,已排期,2026-08-15,
1007026,功能目录树与模块树选择器,功能按模块树组织，新建/编辑时主需求与内部版本号必填关联 T 号。,p1,开发中,2026-06-24,
1007027,功能规格字段 V2.6 对齐,功能详情含关键规则、验收标准、所属模块、业务类型等 TAPD 对齐字段。,p1,已立项,2026-06-05,
1007028,功能与正式版本 manifest 联动,上线单 featureManifest 记录 added/modified/deprecated，对比上一版自动标记移除项。,p0,待评审,2026-07-12,
1007029,功能树 Excel 导入,按 path 列导入功能树并挂接 officialReleaseId，支持 tree-import 来源标记。,p2,待规划,2026-10-01,
1007030,缺陷追溯产品侧引用不双写,产品内缺陷 tab 只展示 traced 到本产品的 defect-agent 记录，不在 product-agent 重建缺陷引擎。,p0,已上线,2026-04-10,2026-04-25
1007031,需求转缺陷联动创建,工作流「转为缺陷」动作在 defect-agent 创建记录并回写 tracedRequirementId。,p0,开发中,2026-06-30,
1007032,缺陷 TAPD 严重程度导入映射,缺陷 CSV/Excel 导入映射紧急/高/中/低为 V2.6 四档 severity。,p1,已排期,2026-07-18,
1007033,客户档案与需求关联,客户 CRUD 后可在需求详情关联 customerIds，列表展示客户数。,p2,待评审,2026-08-20,
1007034,产品团队三级角色,成员列表区分负责人/产品管理员/成员，MAP 管理员可跨产品指派管理员。,p1,已上线,2026-05-15,2026-05-30
1007035,产品知识库 find-or-create 挂载,产品首次进入知识库 tab 自动 find-or-create DocumentStore 并反写 knowledgeStoreId。,p1,开发中,2026-07-02,
1007036,版本知识库 MRD/SRS/PRD 分型,版本详情知识库按 MRD/SRS/PRD 文档类型分区管理交付物。,p2,待规划,2026-09-15,
1007037,产品知识图谱可视化,ProductGraphCanvas 以 ReactFlow 展示产品-版本-需求-功能-缺陷-客户关系网。,p2,已排期,2026-08-01,
1007038,图谱按产品过滤与摘要,大产品图谱支持产品筛选、节点展开与 LLM 摘要（用户可重试）。,p2,待评审,2026-10-10,
1007039,产品助手基于全量数据问答,ProductAssistantPanel 结合产品对象与知识库做上下文问答，流式输出。,p1,开发中,2026-07-25,
1007040,应用配置流转矩阵,管理员在应用 tab 配置需求/功能/缺陷状态机，矩阵勾选启用流转边。,p0,已上线,2026-03-20,2026-04-05
1007041,单产品可覆盖默认工作流,产品级 workflowDefId 覆盖全局默认，Create 时 ResolveDefaultsAsync 解析绑定。,p1,待规划,2026-08-08,
1007042,自定义表单模板引擎,六类对象可绑定 ProductFormTemplate，FormData 存 key-value 并由 FormFieldsRenderer 渲染。,p1,已立项,2026-06-08,
1007043,需求类型目录 AI 识别,RequirementType 含 definition 字段，AI 补全时可按定义识别类型。,p2,待评审,2026-09-20,
1007044,总览多产品需求/缺陷/版本聚合,OverviewShell 管理层视图跨产品列表，带产品列与导入入口。,p1,已上线,2026-05-01,2026-05-20
1007045,列表复选框 hover 渐显对齐,ListCheckbox 默认低透明度，hover 行/表头升至可见，选中保持 100%。,p3,已上线,2026-06-11,2026-06-12
1007046,产品编号前缀随类型变更,修改产品类型时保留全局序号仅替换 SYS/APP 等前缀段。,p2,待规划,2026-08-30,
1007047,活动动态与评论时间线,ActivityTimeline 合流评论与系统流转活动，支持 @ 成员提醒。,p2,开发中,2026-07-30,
1007048,产品管理应用管理员数据重置,Settings 提供 debug reset，仅清空 product-agent 业务 Mongo 集合。,p3,已拒绝,,
1007049,百宝箱注册 product-agent 入口,toolboxStore 注册产品管理智能体，wip 验收通过后转正式。,p1,已上线,2026-02-01,2026-02-15
1007050,端到端验收：产品管理系统主题测试集,以「产品管理系统」为主题导入 50 条需求 CSV，覆盖列表/流转/导入/权限 smoke。,p0,待评审,2026-07-01,
